"site" "tree" "height" "id" "sp" "sample" "code_habit1" "Ramicaule" "Pseudobulb" "Monopodial" "LeafyStem" "empty" "habit1"
"119" "LH" "F05" "E4" "241" "Restrepia antennifera" "F05_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"120" "LH" "F05" "E4" "242" "Restrepia antennifera" "F05_E4" "5" "1" "0" "0" "0" "0" "Ramicaule"
"121" "LH" "F05" "E4" "243" "Epidendrum LH" "F05_E4" "1" "0" "0" "0" "0" "1" ""
"122" "LH" "F05" "E4" "244" "Epidendrum LH" "F05_E4" "1" "0" "0" "0" "0" "1" ""
"123" "LH" "F05" "E4" "246" "Epidendrum LH" "F05_E4" "1" "0" "0" "0" "0" "1" ""
"124" "LH" "F05" "E4" "247" "Oncidium chrysomorphum" "F05_E4" "4" "0" "1" "0" "0" "0" "Pseudobulb"
"125" "LH" "F05" "E5" "248" "Stelis vulcanica" "F05_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"126" "LH" "F05" "E5" "249" "Stelis vulcanica" "F05_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"127" "LH" "F05" "E5" "250" "Stelis spathulata" "F05_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"128" "LH" "F05" "E5" "251" "Stelis spathulata" "F05_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"129" "LH" "F05" "E5" "252" "Pleurothallis hystrix" "F05_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"130" "LH" "F05" "E5" "253" "Stelis spathulata" "F05_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"131" "LH" "F05" "E5" "254" "Stelis spathulata" "F05_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"132" "LH" "F05" "E5" "255" "Stelis spathulata" "F05_E5" "5" "1" "0" "0" "0" "0" "Ramicaule"
"133" "LH" "F07" "E3" "256" "Cryptocentrum latifolium" "F07_E3" "3" "0" "0" "1" "0" "0" "Monopodial"
"134" "LH" "F07" "E3" "257" "Restrepia antennifera" "F07_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"135" "LH" "F07" "E3" "258" "Restrepia antennifera" "F07_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
"136" "LH" "F07" "E3" "260" "Stelis argentata" "F07_E3" "5" "1" "0" "0" "0" "0" "Ramicaule"
